"","type","ident","Latitude","Longitude","Zone","Boundary","Waterbody","Exclude","Strata","selection"
"1","WAYPOINT","SFR1102",29.92745,-82.5567,"1",FALSE,"Santa Fe River",FALSE,1,"Primary"
"2","WAYPOINT","SFR1129",29.92601667,-82.54848333,"1",FALSE,"Santa Fe River",FALSE,1,"Primary"
"3","WAYPOINT","SFR1132",29.92503333,-82.54353333,"1",FALSE,"Santa Fe River",FALSE,1,"Alternate"
"4","WAYPOINT","SFR1141",29.92553333,-82.54258333,"1",FALSE,"Santa Fe River",FALSE,1,"Primary"
"5","WAYPOINT","SFR1159",29.92921667,-82.53611667,"1",FALSE,"Santa Fe River",FALSE,1,"Primary"
"6","WAYPOINT","SFR1190",29.94095,-82.52798333,"1",FALSE,"Santa Fe River",FALSE,1,"Alternate"
"7","WAYPOINT","SFR1191",29.94035,-82.53028333,"1",FALSE,"Santa Fe River",FALSE,1,"Primary"
"8","WAYPOINT","SFR0701",29.83463333,-82.67748333,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"9","WAYPOINT","SFR0719",29.83165,-82.66956667,"2",FALSE,"Santa Fe River",FALSE,2,"Alternate"
"10","WAYPOINT","SFR0752",29.82686667,-82.6538,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"11","WAYPOINT","SFR0790",29.83096667,-82.6374,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"12","WAYPOINT","SFR0795",29.83126667,-82.63771667,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"13","WAYPOINT","SFR0816",29.84081667,-82.63268333,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"14","WAYPOINT","SFR0826",29.84438333,-82.63055,"2",FALSE,"Santa Fe River",FALSE,2,"Alternate"
"15","WAYPOINT","SFR0866",29.84748333,-82.61745,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"16","WAYPOINT","SFR0875",29.84965,-82.61781667,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"17","WAYPOINT","SFR0971",29.86035,-82.59518333,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"18","WAYPOINT","SFR0974",29.86186667,-82.59266667,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"19","WAYPOINT","SFR0979",29.86285,-82.59263333,"2",FALSE,"Santa Fe River",FALSE,2,"Alternate"
"20","WAYPOINT","SFR1012",29.87321667,-82.58991667,"2",FALSE,"Santa Fe River",FALSE,2,"Primary"
"21","WAYPOINT","SFR0246",29.9323,-82.79318333,"3",FALSE,"Santa Fe River",FALSE,3,"Alternate"
"22","WAYPOINT","SFR0256",29.9349,-82.79088333,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"23","WAYPOINT","SFR0264",29.93231667,-82.78858333,"3",FALSE,"Santa Fe River",FALSE,3,"Alternate"
"24","WAYPOINT","SFR0315",29.92826667,-82.77003333,"3",FALSE,"Santa Fe River",FALSE,3,"Alternate"
"25","WAYPOINT","SFR0320",29.92576667,-82.77126667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"26","WAYPOINT","SFR0333",29.9217,-82.77068333,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"27","WAYPOINT","SFR0435",29.8986,-82.75768333,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"28","WAYPOINT","SFR0436",29.89656667,-82.75756667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"29","WAYPOINT","SFR0446",29.89361667,-82.75405,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"30","WAYPOINT","SFR0451",29.89341667,-82.75305,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"31","WAYPOINT","SFR0455",29.89173333,-82.75236667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"32","WAYPOINT","SFR0468",29.88458333,-82.7532,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"33","WAYPOINT","SFR0483",29.8801,-82.75206667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"34","WAYPOINT","SFR0598",29.84826667,-82.71365,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"35","WAYPOINT","SFR0606",29.84733333,-82.70985,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"36","WAYPOINT","SFR0628",29.84095,-82.70595,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"37","WAYPOINT","SFR0630",29.84065,-82.70496667,"3",FALSE,"Santa Fe River",FALSE,3,"Primary"
"38","WAYPOINT","SFR0047",29.90065,-82.86688333,"4",FALSE,"Santa Fe River",FALSE,4,"Alternate"
"39","WAYPOINT","SFR0058",29.90426667,-82.86505,"4",FALSE,"Santa Fe River",FALSE,4,"Alternate"
"40","WAYPOINT","SFR0063",29.90643333,-82.86488333,"4",FALSE,"Santa Fe River",FALSE,4,"Primary"
"41","WAYPOINT","SFR0064",29.90681667,-82.8642,"4",FALSE,"Santa Fe River",FALSE,4,"Primary"
"42","WAYPOINT","SFR0078",29.91133333,-82.86103333,"4",FALSE,"Santa Fe River",FALSE,4,"Alternate"
"43","WAYPOINT","SFR0123",29.9134,-82.84056667,"4",FALSE,"Santa Fe River",FALSE,4,"Primary"
"44","WAYPOINT","SFR0126",29.91441667,-82.83921667,"4",FALSE,"Santa Fe River",FALSE,4,"Primary"
"45","WAYPOINT","SFR0154",29.91681667,-82.82863333,"4",FALSE,"Santa Fe River",FALSE,4,"Primary"
"46","WAYPOINT","SFR0162",29.9191,-82.82543333,"4",FALSE,"Santa Fe River",FALSE,4,"Primary"
"47","WAYPOINT","SFR0200",29.93038333,-82.81201667,"4",FALSE,"Santa Fe River",FALSE,4,"Primary"
