"","Waterbody","type","ident","Latitude","Longitude","Strata","Habitat","Zone","Grid","Minigrid","Exclude","selection"
"1","Ocklawaha River",NA,165817,29.11225,-81.92425,"1_Run","Run","1",30,741,NA,"Primary"
"2","Ocklawaha River",NA,166174,29.1179166667,-81.9250833333,"1_Run","Run","1",29,821,NA,"Primary"
"3","Ocklawaha River",NA,166174,29.12225,-81.92875,"1_Run","Run","1",29,914,NA,"Primary"
"4","Ocklawaha River",NA,166174,29.1254166667,-81.9315833333,"1_Run","Run","1",29,983,NA,"Primary"
"5","Ocklawaha River",NA,166253,29.1284166667,-81.93425,"1_Run","Run","1",28,1041,NA,"Primary"
"6","Ocklawaha River",NA,166597,29.1344166667,-81.94475,"1_Run","Run","1",27,1205,NA,"Alternate"
"7","Ocklawaha River",NA,166597,29.1364166667,-81.94975,"1_Run","Run","1",27,1271,NA,"Alternate"
"8","Ocklawaha River",NA,166868,29.1384166667,-81.9520833333,"2_Run","Run","2",26,1333,NA,"Primary"
"9","Ocklawaha River",NA,166868,29.1480833333,-81.9655833333,"2_Run","Run","2",26,1602,NA,"Primary"
"10","Ocklawaha River",NA,167061,29.1520833333,-81.9744166667,"2_Run","Run","2",24,1782,NA,"Primary"
"11","Ocklawaha River",NA,167235,29.1650833333,-81.9849166667,"2_Run","Run","2",23,2115,NA,"Alternate"
"12","Ocklawaha River",NA,167889,29.16825,-81.9864166667,"2_Run","Run","2",21,2176,NA,"Primary"
"13","Ocklawaha River",NA,168355,29.1860833333,-81.9929166667,"2_Run","Run","2",20,2539,NA,"Primary"
"14","Ocklawaha River",NA,168355,29.1910833333,-81.9935833333,"2_Run","Run","2",20,2617,NA,"Primary"
"15","Ocklawaha River",NA,168549,29.2020833333,-81.9954166667,"2_Run","Run","2",19,2803,NA,"Alternate"
"16","Ocklawaha River",NA,168549,29.2050833333,-81.9935833333,"3_OB","OB","3",19,2867,NA,"Alternate"
"17","Ocklawaha River",NA,169212,29.2275833333,-81.9764166667,"3_Run","Run","3",18,3452,NA,"Primary"
"18","Ocklawaha River",NA,169212,29.2224166667,-81.9815833333,"3_IB","IB","3",18,3317,NA,"Primary"
"19","Ocklawaha River",NA,169922,29.24175,-81.96725,"3_Run","Run","3",15,3869,NA,"Primary"
"20","Ocklawaha River",NA,170223,29.2640833333,-81.9464166667,"3_Run","Run","3",14,4556,NA,"Primary"
"21","Ocklawaha River",NA,170223,29.26625,-81.9419166667,"3_Run","Run","3",14,4705,NA,"Primary"
"22","Ocklawaha River",NA,170223,29.2634166667,-81.9470833333,"3_Run","Run","3",14,4487,NA,"Primary"
"23","Ocklawaha River",NA,170223,29.26425,-81.94925,"3_OB","OB","3",14,4574,NA,"Primary"
"24","Ocklawaha River",NA,170296,29.2585833333,-81.95625,"3_Run","Run","3",13,4334,NA,"Primary"
"25","Ocklawaha River",NA,170296,29.2574166667,-81.9579166667,"3_Run","Run","3",13,4298,NA,"Primary"
"26","Ocklawaha River",NA,170296,29.2565833333,-81.9590833333,"3_Run","Run","3",13,4266,NA,"Primary"
"27","Ocklawaha River",NA,170296,29.2645833333,-81.95275,"3_OB","OB","3",13,4612,NA,"Primary"
"28","Ocklawaha River",NA,170296,29.2640833333,-81.9524166667,"3_IB","IB","3",13,4542,NA,"Alternate"
"29","Ocklawaha River",NA,172125,29.3069166667,-81.9079166667,"3_Run","Run","3",7,5669,NA,"Primary"
"30","Ocklawaha River",NA,172125,29.3145833333,-81.9019166667,"3_Run","Run","3",7,5847,NA,"Primary"
"31","Ocklawaha River",NA,172714,29.3184166667,-81.8979166667,"3_Run","Run","3",6,5957,NA,"Primary"
"32","Ocklawaha River",NA,172714,29.31725,-81.8994166667,"3_IB","IB","3",6,5914,NA,"Primary"
"33","Ocklawaha River",NA,172714,29.32125,-81.89275,"3_OB","OB","3",6,6067,NA,"Primary"
"34","Ocklawaha River",NA,173402,29.34175,-81.8850833333,"3_Run","Run","3",4,6572,NA,"Alternate"
"35","Ocklawaha River",NA,173402,29.3380833333,-81.88725,"3_OB","OB","3",4,6475,NA,"Alternate"
"36","Ocklawaha River",NA,173554,29.3619166667,-81.89325,"3_Run","Run","3",3,7022,NA,"Alternate"
"37","Ocklawaha River",NA,173554,29.36175,-81.8935833333,"3_Run","Run","3",3,7018,NA,"Alternate"
"38","Ocklawaha River",NA,173554,29.3539166667,-81.8890833333,"3_IB","IB","3",3,6813,NA,"Alternate"
"39","Ocklawaha River",NA,174091,29.37075,-81.9009166667,"3_Run","Run","3",1,7264,NA,"Alternate"
"40","Ocklawaha River",NA,174141,29.3704166667,-81.8990833333,"3_Run","Run","3",2,7244,NA,"Primary"
"41","Ocklawaha River",NA,177049,29.4705833333,-81.69425,"4_Run","Run","4",45,7356,NA,"Alternate"
"42","Ocklawaha River",NA,177094,29.4755833333,-81.7600833333,"4_Run","Run","4",41,8225,NA,"Alternate"
"43","Ocklawaha River",NA,177295,29.47975,-81.7829166667,"4_Run","Run","4",40,8799,NA,"Primary"
"44","Ocklawaha River",NA,177326,29.4819166667,-81.72025,"4_Run","Run","4",43,9112,NA,"Primary"
"45","Ocklawaha River",NA,177326,29.4830833333,-81.7219166667,"4_OB","OB","4",43,9333,NA,"Alternate"
"46","Ocklawaha River",NA,177326,29.4819166667,-81.7200833333,"4_IB","IB","4",43,9113,NA,"Alternate"
"47","Ocklawaha River",NA,177326,29.4820833333,-81.71725,"4_IB","IB","4",43,9151,NA,"Alternate"
"48","Ocklawaha River",NA,177361,29.47975,-81.7390833333,"4_IB","IB","4",42,8807,NA,"Primary"
"49","Ocklawaha River",NA,177395,29.4750833333,-81.7055833333,"4_IB","IB","4",44,8003,NA,"Primary"
"50","Ocklawaha River",NA,177395,29.4755833333,-81.7014166667,"4_Run","Run","4",44,8267,NA,"Primary"
"51","Ocklawaha River",NA,177395,29.4750833333,-81.70325,"4_Run","Run","4",44,8008,NA,"Primary"
