ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
60,29.43866383,-82.11986479,0,2019-10-02T17:12:29Z,,,Or_60,X: -82.11986479&lt;br&gt;Y: 29.43866381,X: -82.11986479&lt;br&gt;Y: 29.43866381,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
61,29.44005531,-82.12565761,0,2019-10-02T17:12:29Z,,,Or_61,X: -82.12565758&lt;br&gt;Y: 29.44005528,X: -82.12565758&lt;br&gt;Y: 29.44005528,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
62,29.4445424,-82.13036824,0,2019-10-02T17:12:29Z,,,Or_62,X: -82.13036826&lt;br&gt;Y: 29.44454239,X: -82.13036826&lt;br&gt;Y: 29.44454239,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
63,29.44608157,-82.13713478,0,2019-10-02T17:12:29Z,,,Or_63,X: -82.13713476&lt;br&gt;Y: 29.44608156,X: -82.13713476&lt;br&gt;Y: 29.44608156,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
64,29.44244214,-82.13925825,0,2019-10-02T17:12:29Z,,,Or_64,X: -82.13925826&lt;br&gt;Y: 29.44244212,X: -82.13925826&lt;br&gt;Y: 29.44244212,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
65,29.43710044,-82.14192789,0,2019-10-02T17:12:29Z,,,Or_65,X: -82.14192791&lt;br&gt;Y: 29.43710042,X: -82.14192791&lt;br&gt;Y: 29.43710042,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
66,29.43624582,-82.14776832,0,2019-10-02T17:12:29Z,,,Or_66,X: -82.1477683&lt;br&gt;Y: 29.43624581,X: -82.1477683&lt;br&gt;Y: 29.43624581,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
67,29.44067968,-82.1509749,0,2019-10-02T17:12:29Z,,,Or_67,X: -82.15097489&lt;br&gt;Y: 29.44067966,X: -82.15097489&lt;br&gt;Y: 29.44067966,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
68,29.44365635,-82.15675523,0,2019-10-02T17:12:29Z,,,Or_68,X: -82.15675519&lt;br&gt;Y: 29.44365637,X: -82.15675519&lt;br&gt;Y: 29.44365637,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
69,29.44964035,-82.15595584,0,2019-10-02T17:12:29Z,,,Or_69,X: -82.15595586&lt;br&gt;Y: 29.44964037,X: -82.15595586&lt;br&gt;Y: 29.44964037,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
70,29.45580424,-82.15887568,0,2019-10-02T17:12:29Z,,,Or_70,X: -82.15887567&lt;br&gt;Y: 29.45580421,X: -82.15887567&lt;br&gt;Y: 29.45580421,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
71,29.46141358,-82.16168337,0,2019-10-02T17:12:29Z,,,Or_71,X: -82.16168336&lt;br&gt;Y: 29.46141355,X: -82.16168336&lt;br&gt;Y: 29.46141355,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
72,29.46394516,-82.1658977,0,2019-10-02T17:12:29Z,,,Or_72,X: -82.16589769&lt;br&gt;Y: 29.46394514,X: -82.16589769&lt;br&gt;Y: 29.46394514,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
73,29.46971417,-82.1691244,0,2019-10-02T17:12:29Z,,,Or_73,X: -82.16912439&lt;br&gt;Y: 29.46971416,X: -82.16912439&lt;br&gt;Y: 29.46971416,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
74,29.47452212,-82.16521785,0,2019-10-02T17:12:29Z,,,Or_74,X: -82.16521781&lt;br&gt;Y: 29.47452208,X: -82.16521781&lt;br&gt;Y: 29.47452208,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
